==================== Loading Mesh ====================
Reading Mesh File..... 
::  0:: Scanning Headers
::  0:: (nx,ny)=(140, 41), Now Scanning Nodes....
::  0:: Scanning BCs
Reading Block Connectivity File..... 
::  0:: opened conn file 
::  0::Calculating Grid Metrics..... 
==================== Initializing ====================
===== Generating Mesh and Initial State Tecplot Files ====
==================== Starting Solver ====================
Iter:    191	dt:2.4222e-07 		 RelativeTotalResisual:  1.09394e+00 	 damp:0.950000, duscale:0.700000
Iter:    192	dt:2.4320e-07 		 RelativeTotalResisual:  1.09732e+00 	 damp:0.950000, duscale:0.700000
Iter:    193	dt:2.4437e-07 		 RelativeTotalResisual:  1.09699e+00 	 damp:0.950000, duscale:0.700000
Iter:    194	dt:2.4549e-07 		 RelativeTotalResisual:  1.09619e+00 	 damp:0.950000, duscale:0.700000
Iter:    195	dt:2.4662e-07 		 RelativeTotalResisual:  1.09601e+00 	 damp:0.950000, duscale:0.700000
Iter:    196	dt:2.4774e-07 		 RelativeTotalResisual:  1.09657e+00 	 damp:0.950000, duscale:0.700000
Iter:    197	dt:2.4883e-07 		 RelativeTotalResisual:  1.09468e+00 	 damp:0.950000, duscale:0.700000
Iter:    198	dt:2.4989e-07 		 RelativeTotalResisual:  1.09190e+00 	 damp:0.950000, duscale:0.700000
Iter:    199	dt:2.5088e-07 		 RelativeTotalResisual:  1.09150e+00 	 damp:0.950000, duscale:0.700000
Iter:    200	dt:2.5178e-07 		 RelativeTotalResisual:  1.08570e+00 	 damp:0.950000, duscale:0.700000
Iter:    201	dt:2.5260e-07 		 RelativeTotalResisual:  1.07564e+00 	 damp:0.950000, duscale:0.700000
Iter:    202	dt:2.5336e-07 		 RelativeTotalResisual:  1.07101e+00 	 damp:0.950000, duscale:0.700000
Iter:    203	dt:2.5406e-07 		 RelativeTotalResisual:  1.06717e+00 	 damp:0.950000, duscale:0.700000
Iter:    204	dt:2.5469e-07 		 RelativeTotalResisual:  1.06320e+00 	 damp:0.950000, duscale:0.700000
Iter:    205	dt:2.5528e-07 		 RelativeTotalResisual:  1.06351e+00 	 damp:0.950000, duscale:0.700000
